genesymbol,canonical_marker,cell_type,germ_layer,human,human_sensitivity,human_specificity,mouse,mouse_sensitivity,mouse_specificity,ncbi_tax_id,organ,ubiquitiousness
CTRB1,True,Acinar cells,Endoderm,True,1.0,0.000628931,True,0.957143,0.0159201,9606,Pancreas,0.017
KLK1,True,Endothelial cells,Mesoderm,True,0.0,0.00841969,True,0.0,0.0149153,9606,Vasculature,0.013
KLK1,True,Principal cells,Mesoderm,True,0.0,0.00814536,True,0.285714,0.0140583,9606,Kidney,0.013
KLK1,True,Acinar cells,Endoderm,True,0.833333,0.00503145,True,0.314286,0.0128263,9606,Pancreas,0.013
KLK1,True,Plasmacytoid dendritic cells,Mesoderm,True,0.0,0.00820189,True,1.0,0.0129136,9606,Immune system,0.013
RBPJL,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,Pancreas,0.001
PTF1A,True,Acinar cells,Endoderm,True,0.0,0.000628931,True,0.157143,0.000773445,9606,Pancreas,0.001
PTF1A,True,Pancreatic progenitor cells,Endoderm,True,0.0,0.000626566,True,0.0,0.00147578,9606,Pancreas,0.001
PRSS3,True,Acinar cells,Endoderm,True,0.833333,0.0289308,True,0.0285714,0.0,9606,Pancreas,0.006
CELA3A,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.128571,0.0,9606,Pancreas,0.001
PRSS1,True,Paneth cells,Endoderm,True,0.0,0.00971178,True,0.0,0.000128991,9606,GI tract,0.002
PRSS1,True,Acinar cells,Endoderm,True,1.0,0.00597484,True,0.0285714,0.0,9606,Pancreas,0.002
SPINK1,True,Acinar cells,Endoderm,True,1.0,0.0352201,True,0.0,0.0,9606,Pancreas,0.029
SPINK1,True,Epsilon cells,Endoderm,True,0.0,0.0388471,True,0.0,0.0,9606,Pancreas,0.029
ZG16,True,Acinar cells,Endoderm,True,0.0,0.0144654,True,0.0,0.0,9606,Pancreas,0.013
CEL,True,Acinar cells,Endoderm,True,0.166667,0.0,True,0.442857,0.000837899,9606,Pancreas,0.002
CELA2A,True,Acinar cells,Endoderm,True,0.333333,0.0,True,0.628571,0.00290042,9606,Pancreas,0.005
CPB1,True,Acinar cells,Endoderm,True,0.833333,0.00786164,True,0.5,0.00232034,9606,Pancreas,0.005
CELA1,True,Fibroblasts,Mesoderm,True,0.0,0.0,True,0.0226244,0.0209998,9606,Connective tissue,0.017
CELA1,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.814286,0.017467,9606,Pancreas,0.017
RNASE1,True,Endothelial cells,Mesoderm,True,0.807692,0.0660622,True,0.0,0.0,9606,Vasculature,0.022
RNASE1,True,Acinar cells,Endoderm,True,0.75,0.0877358,True,0.0,0.0,9606,Pancreas,0.022
AMY2B,True,Acinar cells,Endoderm,True,0.0833333,0.0,True,0.528571,0.00148244,9606,Pancreas,0.003
CPA2,True,Acinar cells,Endoderm,True,0.916667,0.0,True,0.457143,0.00277151,9606,Pancreas,0.004
CPA1,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.585714,0.00438286,9606,Pancreas,0.006
CELA3B,True,Acinar cells,Endoderm,True,0.75,0.00125786,True,0.8,0.00502739,9606,Pancreas,0.007
PNLIP,True,Acinar cells,Endoderm,True,0.833333,0.000314465,True,0.585714,0.00354496,9606,Pancreas,0.005
CTRB2,True,Acinar cells,Endoderm,True,0.916667,0.00125786,False,0.0,0.0,9606,Pancreas,0.001
PLA2G1B,True,Acinar cells,Endoderm,True,0.833333,0.00157233,True,0.228571,0.00638092,9606,Pancreas,0.007
PRSS2,True,Acinar cells,Endoderm,True,1.0,0.0103774,True,0.7,0.00696101,9606,Pancreas,0.01
CLPS,True,Acinar cells,Endoderm,True,0.583333,0.000314465,True,0.957143,0.0215276,9606,Pancreas,0.021
REG1A,True,Acinar cells,Endoderm,True,1.0,0.0273585,False,0.0,0.0,9606,Pancreas,0.005
SYCN,True,Acinar cells,Endoderm,True,0.833333,0.00157233,True,0.0,0.0,9606,Pancreas,0.008
PNLIPRP1,True,Acinar cells,Endoderm,True,0.5,0.0,True,0.628571,0.00663874,9606,Pancreas,0.008
CTRC,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.414286,0.00135353,9606,Pancreas,0.003
REG3A,True,Enterocytes,Endoderm,True,0.0,0.0141243,True,0.0,0.0,9606,GI tract,0.005
REG3A,True,Acinar cells,Endoderm,True,0.916667,0.0106918,True,0.0,0.0,9606,Pancreas,0.005
SERPINA3,True,Ductal cells,Endoderm,True,0.0,0.000316756,False,0.0,0.0,9606,Pancreas,0.0
SERPINA3,True,Acinar cells,Endoderm,True,0.0,0.000314465,False,0.0,0.0,9606,Pancreas,0.0
REG1B,True,Acinar cells,Endoderm,True,0.916667,0.0110063,False,0.0,0.0,9606,Pancreas,0.002
CFB,True,Ductal cells,Endoderm,True,0.0,0.0,True,0.0,0.00153994,9606,Pancreas,0.001
CFB,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.00154689,9606,Pancreas,0.001
GDF15,True,Acinar cells,Endoderm,True,0.833333,0.054088,True,0.0,0.00309378,9606,Pancreas,0.014
GDF15,True,Ductal cells,Endoderm,True,0.628571,0.050681,True,0.0,0.00307988,9606,Pancreas,0.014
GDF15,True,Macrophages,Mesoderm,True,0.166667,0.0566038,True,0.0181818,0.00258449,9606,Immune system,0.014
MUC1,True,Acinar cells,Endoderm,True,0.916667,0.0295597,True,0.185714,0.0117306,9606,Pancreas,0.016
MUC1,True,Luminal epithelial cells,Ectoderm,True,0.666667,0.0299024,True,0.0,0.0125225,9606,Mammary gland,0.016
MUC1,True,Pulmonary alveolar type II cells,Endoderm,True,1.0,0.0289399,True,0.765152,0.00608296,9606,Lungs,0.016
MUC1,True,Clara cells,Endoderm,True,0.666667,0.0322985,True,0.340426,0.0115201,9606,Lungs,0.016
MUC1,True,Sebocytes,Mesoderm,True,0.0,0.0328947,True,0.0,0.012512,9606,Skin,0.016
MUC1,True,Epithelial cells,Mesoderm,True,0.382353,0.0291324,True,0.0,0.012537,9606,Epithelium,0.016
MUC1,True,Ductal cells,Endoderm,True,0.228571,0.0307254,True,0.0,0.012512,9606,Pancreas,0.016
C15orf48,True,Acinar cells,Endoderm,True,1.0,0.109119,False,0.0,0.0,9606,Pancreas,0.018
DUOXA2,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.000128908,9606,Pancreas,0.0
AKR1C3,True,Acinar cells,Endoderm,True,1.0,0.0389937,False,0.0,0.0,9606,Pancreas,0.007
AKR1C3,True,Ductal cells,Endoderm,True,0.371429,0.038961,False,0.0,0.0,9606,Pancreas,0.007
OLFM4,True,Acinar cells,Endoderm,True,0.583333,0.0132075,True,0.0,0.0126974,9606,Pancreas,0.013
OLFM4,True,Crypt cells,Endoderm,True,0.0,0.0153509,True,0.0,0.0126404,9606,GI tract,0.013
GSTA1,True,Enterocytes,Endoderm,True,0.0,0.0301318,True,0.298013,0.00261729,9606,GI tract,0.012
GSTA1,True,Acinar cells,Endoderm,True,0.916667,0.0267296,True,0.0,0.00837899,9606,Pancreas,0.012
LGALS2,True,Cholangiocytes,Endoderm,True,0.133333,0.0356112,True,1.0,0.0306745,9606,Liver,0.032
LGALS2,True,Enterocytes,Endoderm,True,0.5,0.037037,True,0.897351,0.0136753,9606,GI tract,0.032
LGALS2,True,Acinar cells,Endoderm,True,0.916667,0.0345912,True,0.0142857,0.0308733,9606,Pancreas,0.032
PDZK1IP1,True,Platelets,Mesoderm,True,0.0,0.0432873,True,0.0,0.0232319,9606,Blood,0.025
PDZK1IP1,True,Acinar cells,Endoderm,True,1.0,0.0396226,True,0.114286,0.0228166,9606,Pancreas,0.025
RARRES2,True,Acinar cells,Endoderm,True,1.0,0.0751572,True,0.0,0.0,9606,Pancreas,0.03
RARRES2,True,Adipocytes,Mesoderm,True,0.0,0.0788069,True,0.0,0.0,9606,Connective tissue,0.03
RARRES2,True,Ependymal cells,Ectoderm,True,0.0,0.0787822,True,0.0,0.0,9606,Brain,0.03
CXCL17,True,Acinar cells,Endoderm,True,0.75,0.0248428,True,0.0,0.00367386,9606,Pancreas,0.007
UBD,True,Acinar cells,Endoderm,True,,,True,,,9606,Pancreas,0.0
GSTA2,True,Hepatocytes,Endoderm,True,0.0540541,0.00919176,True,0.2,0.00604696,9606,Liver,0.007
GSTA2,True,Proximal tubule cells,Mesoderm,True,0.0,0.00971482,True,0.385714,0.00483403,9606,Kidney,0.007
GSTA2,True,Acinar cells,Endoderm,True,0.916667,0.00628931,True,0.0142857,0.00650983,9606,Pancreas,0.007
ANPEP,True,Epithelial cells,Mesoderm,True,0.176471,0.011083,True,0.0967742,0.016716,9606,Epithelium,0.015
ANPEP,True,Acinar cells,Endoderm,True,0.75,0.0100629,True,0.0714286,0.0166291,9606,Pancreas,0.015
ANPEP,True,Enterocytes,Endoderm,True,0.666667,0.0116133,True,0.403974,0.00922594,9606,GI tract,0.015
ANPEP,True,Luminal epithelial cells,Ectoderm,True,0.0,0.0129053,True,0.0,0.0168893,9606,Mammary gland,0.015
ANPEP,True,Hematopoietic stem cells,Mesoderm,True,0.0,0.0128446,True,0.0,0.0169099,9606,Bone,0.015
ANPEP,True,Gastric chief cells,Endoderm,True,0.0,0.0128446,True,0.0,0.0168752,9606,GI tract,0.015
ANPEP,True,Pericytes,Mesoderm,True,0.0,0.0128728,True,0.0123967,0.0169458,9606,Vasculature,0.015
LYZ,True,Neutrophils,Mesoderm,True,0.615385,0.0383768,False,0.0,0.0,9606,Immune system,0.008
LYZ,True,Kupffer cells,Mesoderm,True,0.0,0.0407268,False,0.0,0.0,9606,Liver,0.008
LYZ,True,Acinar cells,Endoderm,True,0.0,0.0408805,False,0.0,0.0,9606,Pancreas,0.008
LYZ,True,Dendritic cells,Mesoderm,True,0.442177,0.0213465,False,0.0,0.0,9606,Immune system,0.008
LYZ,True,Paneth cells,Endoderm,True,0.0,0.0407268,False,0.0,0.0,9606,GI tract,0.008
ANGPTL4,True,Acinar cells,Endoderm,True,0.166667,0.0295597,True,0.0,0.0329359,9606,Pancreas,0.031
ANGPTL4,True,Sebocytes,Mesoderm,True,0.0,0.0300752,True,0.0,0.0327879,9606,Skin,0.031
ALDOB,True,Acinar cells,Endoderm,True,0.583333,0.00408805,True,0.0428571,0.0370609,9606,Pancreas,0.031
ALDOB,True,Enterocytes,Endoderm,True,0.0,0.00627746,True,0.943709,0.0191716,9606,GI tract,0.031
CEBPA,True,Sebocytes,Mesoderm,True,0.0,0.0,True,0.0,0.0299647,9606,Skin,0.025
CEBPA,True,Microglia,Ectoderm,True,0.0,0.0,True,0.193182,0.0252228,9606,Brain,0.025
CEBPA,True,Pulmonary alveolar type II cells,Endoderm,True,0.0,0.0,True,0.265152,0.0279557,9606,Lungs,0.025
CEBPA,True,Basophils,Mesoderm,True,0.0,0.0,True,0.533333,0.0294798,9606,Immune system,0.025
EGFR,True,Adipocytes,Mesoderm,True,0.0,0.022292,True,0.0,0.0127752,9606,Connective tissue,0.014
EGFR,True,Bergmann glia,Ectoderm,True,0.0,0.0222431,True,0.0,0.0127711,9606,Brain,0.014
EGFR,True,Neuroblasts,Ectoderm,True,0.0,0.0222431,True,0.0,0.0127695,9606,Brain,0.014
